                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.65223,                0.99358,                0.49318,                0.85749,                0.97388,                0.76113,                0.87866,                0.71482,                0.97383,                0.75952,                0.86155,                0.69463,                0.90078,                 1.5621,                 1.1897,                0.94676,              0.0017426,              0.0017426,              0.0017426
                     68,                 0.6368,                0.95786,                0.49095,                0.86228,                0.97309,                0.73805,                 0.8232,                0.66276,                0.97309,                0.73805,                 0.8232,                  0.656,                0.99772,                 1.7014,                 1.4791,                0.97038,              0.0017386,              0.0017386,              0.0017386
                     69,                0.70284,                0.99861,                0.52794,                 0.8903,                 0.9704,                0.81633,                0.84719,                 0.6909,                 0.9704,                0.81633,                0.84719,                 0.6896,                0.95635,                 1.5234,                0.82454,                0.94219,              0.0017347,              0.0017347,              0.0017347
                     70,                0.65689,                0.99086,                0.51039,                0.89139,                      1,                0.75386,                0.86214,                 0.6923,                      1,                0.75386,                0.85932,                0.67923,                 0.9697,                 2.0001,                0.94449,                0.96214,              0.0017307,              0.0017307,              0.0017307
                     71,                 0.6499,                0.97007,                0.47044,                0.89622,                0.97549,                0.81232,                0.85218,                0.70893,                0.97549,                0.81232,                0.85218,                0.67734,                0.93601,                 1.8377,                 1.0345,                0.94984,              0.0017268,              0.0017268,              0.0017268
                     72,                0.66857,                 0.9655,                0.49368,                0.88498,                0.95326,                0.83256,                0.86414,                0.69432,                0.95326,                0.83256,                0.86414,                0.66801,                 0.9204,                 1.5723,                0.92179,                0.92382,              0.0017228,              0.0017228,              0.0017228
                     73,                 0.6337,                 0.9002,                0.48598,                0.86852,                0.90818,                0.80756,                0.85138,                0.68559,                0.90818,                0.80756,                0.85138,                0.65724,                0.89254,                 1.4636,                0.95742,                0.90929,              0.0017188,              0.0017188,              0.0017188
                     74,                0.64598,                0.93826,                0.48731,                0.87732,                0.97343,                 0.7551,                0.82019,                0.65728,                0.97343,                 0.7551,                0.81628,                0.64589,                 0.9478,                 1.5042,                  1.067,                  0.955,              0.0017149,              0.0017149,              0.0017149
                     75,                 0.6614,                0.93978,                0.48586,                0.87541,                0.95403,                0.85714,                0.86512,                0.69296,                      1,                0.81195,                 0.8457,                0.67195,                0.89996,                 1.6422,                0.73508,                 0.9427,              0.0017109,              0.0017109,              0.0017109
                     76,                0.64757,                0.93229,                0.48949,                0.85745,                0.99737,                0.83673,                 0.8633,                0.68451,                0.98614,                0.81633,                0.84332,                0.67252,                0.91728,                 1.6891,                0.72408,                0.94291,               0.001707,               0.001707,               0.001707
                     77,                0.67173,                0.95212,                0.48456,                0.88939,                0.95711,                0.85714,                0.88154,                0.68039,                0.97662,                0.85264,                0.86694,                 0.6374,                0.88715,                 1.8878,                0.75582,                0.94753,               0.001703,               0.001703,               0.001703
                     78,                0.65218,                0.94004,                0.47404,                0.86925,                0.99466,                0.79592,                 0.9058,                0.71111,                0.99466,                0.79592,                0.89494,                0.69902,                0.96374,                 1.5732,                0.73324,                0.96239,               0.001699,               0.001699,               0.001699
                     79,                0.60021,                0.91936,                0.43876,                0.86112,                0.93525,                0.88447,                0.91244,                 0.7278,                0.93525,                0.88447,                  0.908,                0.69931,                 1.0133,                 1.4822,                 0.8056,                0.98279,              0.0016951,              0.0016951,              0.0016951
                     80,                0.67176,                0.94492,                 0.4645,                0.89558,                0.97568,                0.87755,                0.91705,                 0.7528,                0.97568,                0.87755,                0.91705,                 0.7305,                0.89168,                 1.5679,                0.88445,                0.93402,              0.0016911,              0.0016911,              0.0016911
                     81,                0.64857,                0.96193,                0.46286,                0.87423,                0.97713,                0.87198,                0.91341,                0.73741,                0.97713,                0.87198,                0.91341,                0.71955,                0.90035,                 1.5246,                0.92712,                0.93997,              0.0016872,              0.0016872,              0.0016872
                     82,                0.64411,                 0.9361,                0.45509,                0.89096,                      1,                0.81419,                0.88946,                0.72624,                      1,                0.81419,                0.88946,                0.69943,                0.86126,                 1.5546,                0.83507,                0.92288,              0.0016832,              0.0016832,              0.0016832
                     83,                0.63851,                0.97636,                0.46675,                0.87582,                      1,                0.81486,                0.87633,                0.71981,                      1,                0.81486,                0.87633,                0.70002,                 0.8614,                  1.497,                0.81711,                0.91139,              0.0016792,              0.0016792,              0.0016792
                     84,                0.69027,                 1.0234,                0.48046,                0.88393,                0.97604,                 0.8315,                0.86519,                0.71332,                0.97604,                 0.8315,                0.86519,                0.68468,                0.84295,                 1.4901,                0.81577,                0.91102,              0.0016753,              0.0016753,              0.0016753
                     85,                0.62258,                0.88922,                0.47019,                0.87312,                0.97605,                0.83185,                0.88158,                0.70778,                0.97605,                0.83185,                0.88158,                0.69858,                0.90133,                 1.6604,                 0.7631,                0.92489,              0.0016713,              0.0016713,              0.0016713
                     86,                0.63776,                0.93026,                0.45225,                0.87984,                0.95516,                0.86953,                0.89372,                0.72046,                0.95516,                0.86953,                0.89372,                0.68511,                0.88922,                 1.8428,                0.69327,                0.92318,              0.0016674,              0.0016674,              0.0016674
                     87,                0.62756,                0.92313,                0.44832,                0.86463,                0.90583,                0.85714,                0.88968,                0.71928,                0.90583,                0.85714,                0.88968,                0.70005,                0.88026,                 1.6373,                0.83834,                0.93144,              0.0016634,              0.0016634,              0.0016634
                     88,                0.59915,                0.87255,                0.42954,                0.85917,                0.95197,                0.80919,                 0.8863,                0.72289,                0.95197,                0.80919,                 0.8863,                0.72006,                0.86077,                 1.5358,                0.85963,                0.90439,              0.0016594,              0.0016594,              0.0016594
                     89,                0.63161,                0.89776,                0.45568,                0.88156,                0.92968,                0.80953,                0.87712,                0.70963,                0.92968,                0.80953,                0.87712,                0.69986,                0.87168,                 1.4508,                0.95344,                0.91092,              0.0016555,              0.0016555,              0.0016555
                     90,                0.60985,                0.91437,                0.43112,                0.85704,                0.91446,                0.87277,                0.87989,                0.71586,                0.91446,                0.87277,                0.87989,                0.69307,                0.88006,                 1.4749,                0.91218,                0.91715,              0.0016515,              0.0016515,              0.0016515
                     91,                0.59676,                0.83026,                0.41895,                0.84879,                0.94829,                0.83673,                 0.8932,                0.70512,                0.94829,                0.83673,                 0.8932,                0.69767,                0.88138,                 1.4943,                0.79344,                0.91478,              0.0016476,              0.0016476,              0.0016476
                     92,                0.63293,                0.93859,                0.42886,                0.87081,                 0.9767,                 0.8554,                0.88932,                 0.7054,                 0.9767,                 0.8554,                0.88932,                0.70983,                0.88719,                 1.6215,                0.77476,                0.92861,              0.0016436,              0.0016436,              0.0016436
