                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.47175,                0.69482,                0.33082,                0.82818,                0.99574,                0.82313,                0.90332,                0.74597,                0.99574,                0.82313,                0.90332,                0.71879,                0.78228,                 1.5534,                0.73674,                 0.8636,              0.0090793,              0.0090793,              0.0090793
                     96,                0.46496,                0.70342,                0.32064,                0.82872,                0.96054,                0.82787,                0.90924,                0.75888,                0.96054,                0.82787,                0.90924,                0.73204,                0.76171,                 1.5504,                0.74535,                0.85498,              0.0090694,              0.0090694,              0.0090694
                     97,                0.46951,                0.69921,                0.32622,                0.82517,                0.98429,                 0.8526,                0.93113,                0.78354,                0.98429,                 0.8526,                0.93113,                0.74353,                0.78025,                 1.5123,                0.68149,                0.86921,              0.0090595,              0.0090595,              0.0090595
                     98,                0.46413,                0.68659,                0.32604,                0.82564,                 0.9618,                0.85651,                 0.9264,                0.77899,                 0.9618,                0.85651,                 0.9264,                0.73532,                0.78285,                   1.72,                0.68203,                0.86309,              0.0090496,              0.0090496,              0.0090496
                     99,                0.45946,                0.67986,                0.31566,                0.82257,                      1,                0.85004,                0.94162,                0.79071,                      1,                0.85004,                0.94162,                0.74714,                0.77332,                 1.8447,                0.51998,                0.86149,              0.0090397,              0.0090397,              0.0090397
                    100,                0.45872,                0.68183,                0.32007,                0.82925,                0.96176,                0.88435,                0.93444,                0.76577,                0.96176,                0.88435,                0.93444,                0.74119,                0.76578,                 1.8124,                0.51349,                0.85528,              0.0090298,              0.0090298,              0.0090298
                    101,                 0.4572,                0.69393,                0.32041,                0.82812,                0.99227,                0.87374,                0.93714,                0.77989,                0.99227,                0.87374,                0.93714,                0.73795,                0.78571,                 1.6465,                0.54948,                0.86918,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.4563,                0.68974,                0.31462,                0.81805,                0.97694,                0.86459,                0.92644,                0.75844,                0.97694,                0.86459,                0.92644,                0.73351,                0.81004,                 1.6926,                0.55272,                  0.877,                0.00901,                0.00901,                0.00901
                    103,                0.45803,                0.69304,                0.31747,                0.82606,                0.96874,                0.84332,                0.87719,                0.70261,                0.96874,                0.84332,                0.87719,                0.66582,                0.76655,                 1.8527,                0.58561,                0.86402,              0.0090001,              0.0090001,              0.0090001
                    104,                0.44271,                0.65533,                0.30632,                0.82335,                0.96293,                0.88359,                0.93253,                0.76215,                0.96293,                0.88359,                0.93253,                0.73396,                0.81126,                 1.6352,                0.58416,                0.87811,              0.0089902,              0.0089902,              0.0089902
                    105,                0.46073,                0.67632,                0.32177,                0.82594,                0.95346,                0.83613,                0.92958,                0.77731,                0.95346,                0.83613,                0.92958,                0.73987,                0.80165,                 1.6493,                0.59588,                0.86792,              0.0089803,              0.0089803,              0.0089803
                    106,                0.45186,                0.67738,                0.31366,                0.82426,                 0.9664,                0.85034,                 0.9094,                0.74274,                 0.9664,                0.85034,                 0.9094,                0.71195,                0.78725,                 1.6903,                0.62365,                0.86904,              0.0089704,              0.0089704,              0.0089704
                    107,                0.44738,                0.65084,                0.30824,                0.82585,                 0.9583,                0.80952,                0.89189,                0.72672,                 0.9583,                0.80952,                0.89189,                0.69462,                0.79694,                 1.7348,                0.73113,                0.86932,              0.0089605,              0.0089605,              0.0089605
